"","pid","DefaultStatus","BuySignal","wug_role","p2_q1","p2_q2","p2_q3","signal_sent"
"1","6630ed04c0ee00129fb46df7","donated","75 tokens","Wug non-donor","1.0","2.0","2.0",1
"2","60ec03471451032a030cfec1","not donated","75 tokens","Wug donor","2.0","1.0","2.0",1
"3","66d9d8108156d32cbe34ee6f","not donated","75 tokens","Wug donor","1.0","1.0","1.0",1
"4","60c4e1091b936c7b812e5af4","donated","75 tokens","Wug non-donor","2.0","1.0","2.0",1
"5","5d23460ad4c57900192b129c","not donated","75 tokens","Wug donor","1.0","2.0","2.0",1
"6","59d1e366faf42e00012b6c1c","not donated","75 tokens","Wug donor","2.0","2.0","1.0",1
"7","66d644b3e188368e4bd6777f","donated","75 tokens","Wug non-donor","2.0","1.0","1.0",1
"8","5f01d812e83c5732b0dd15e6","donated","75 tokens","Wug non-donor","1.0","2.0","2.0",1
"9","588e02b13326830001bc29cd","donated","75 tokens","Wug non-donor","2.0","1.0","1.0",1
"10","66c9dcb106fb45dcb4655e54","not donated","75 tokens","Wug donor","1.0","1.0","1.0",1
"11","5dd9f0e719eecb97dfab7b48","not donated","75 tokens","Wug donor","1.0","2.0","2.0",1
"12","65f3b9b0a622d1c75930b1df","donated","75 tokens","Wug non-donor","2.0","1.0","2.0",1
"13","5df3c82961b48a2907204173","donated","75 tokens","Wug non-donor","1.0","2.0","2.0",1
"14","5dfac1ba83907981767ce907","not donated","75 tokens","Wug donor","2.0","1.0","2.0",1
"15","66803a896850f7964079120f","not donated","75 tokens","Wug donor","2.0","2.0","1.0",1
"16","62b473736986d2b27c1427d2","donated","75 tokens","Wug non-donor","1.0","1.0","1.0",1
"17","5dd5db1ded7ea4574c7bc996","not donated","75 tokens","Wug donor","2.0","1.0","2.0",1
"18","66c40786bc12f49a98f86635","donated","75 tokens","Wug non-donor","1.0","1.0","2.0",1
"19","65ba53111e49e993460b7796","donated","75 tokens","Wug non-donor","1.0","1.0","1.0",1
"20","66b0d717c6ac1da7b1aeaeee","not donated","75 tokens","Wug donor","1.0","1.0","1.0",1
