"","pid","DefaultStatus","BuySignal","OverturnCondition","wug_role","p2_q1","p2_q2","p2_q3","signal_sent","pragmatism","purity","justice","social_recognition","pleasure","compassion","spirituality","equality","giving","freedom","respect_tadition","moral_mean"
"1","632dd45fb49858b31338c11c","not donated","75 tokens","1 token","Wug donor","1.0","2.0","2.0",1,7,2,5,6,9,7,3,2,6,4,6,5.18181818181818
"2","608bfa04767191aa4d57bfd8","donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,5,8,6,3,5,7,9,3,6,6,7,5.90909090909091
"3","667c73ba70ed69bf1a17c1ce","donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,7,5,7,5,5,9,6,8,4,8,5,6.27272727272727
"4","666a1eb61d6ab318e46739a8","donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,7,8,8,7,9,8,9,8,8,9,8,8.09090909090909
"5","65514e3c39d0c4217a988bd8","donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,4,2,9,2,5,8,4,8,5,4,2,4.81818181818182
"6","66aa6ec469ff833dfee600d7","donated","75 tokens","19 tokens","Wug non-donor","2.0","1.0","2.0",1,8,8,8,3,3,8,9,8,8,8,8,7.18181818181818
"7","66df255fc0e34d721c9b5f1e","donated","75 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,5,2,9,5,8,8,5,8,8,9,5,6.54545454545455
"8","64664bc615dd4139df276075","not donated","75 tokens","1 token","Wug donor","1.0","2.0","2.0",1,5,5,8,5,7,8,5,7,8,8,6,6.54545454545455
"9","56cc78e3ccc0e20006b82a7d","not donated","75 tokens","19 tokens","Wug donor","1.0","1.0","2.0",1,7,2,9,2,6,9,2,9,9,9,3,6.09090909090909
"10","611115eb23d02f639a39f61e","not donated","75 tokens","19 tokens","Wug donor","1.0","2.0","1.0",1,5,4,6,3,5,6,3,6,5,5,4,4.72727272727273
"11","56ad40ce5ea7aa000cbe1947","donated","75 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,7,5,5,2,5,5,4,5,5,8,5,5.09090909090909
"12","66709c6996a21f492918fbc4","not donated","75 tokens","19 tokens","Wug donor","1.0","1.0","1.0",1,2,8,8,9,8,9,3,9,8,9,8,7.36363636363636
"13","6539204539fa1cc8a5f183e5","not donated","75 tokens","19 tokens","Wug donor","1.0","1.0","2.0",1,5,5,5,7,6,7,7,5,7,6,6,6
"14","66927596325885c57058e460","not donated","75 tokens","19 tokens","Wug donor","2.0","2.0","1.0",1,5,7,7,7,6,8,6,5,8,7,6,6.54545454545455
