"","pid","DefaultStatus","BuySignal","OverturnCondition","wug_role","p2_q1","p2_q2","p2_q3","signal_sent","pragmatism","purity","justice","social_recognition","pleasure","compassion","spirituality","equality","giving","freedom","respect_tadition","moral_mean"
"1","6630ed04c0ee00129fb46df7","donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,8,2,7,5,6,8,5,4,9,9,4,6.09090909090909
"2","60ec03471451032a030cfec1","not donated","75 tokens","1 token","Wug donor","2.0","1.0","2.0",1,5,5,5,8,6,9,4,9,9,9,6,6.81818181818182
"3","66d9d8108156d32cbe34ee6f","not donated","75 tokens","19 tokens","Wug donor","1.0","1.0","1.0",1,6,4,7,4,7,8,8,8,8,9,8,7
"4","60c4e1091b936c7b812e5af4","donated","75 tokens","1 token","Wug non-donor","2.0","1.0","2.0",1,6,8,7,4,4,8,8,5,8,7,7,6.54545454545455
"5","5d23460ad4c57900192b129c","not donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,7,8,5,8,3,9,2,9,8,8,5,6.54545454545455
"6","59d1e366faf42e00012b6c1c","not donated","75 tokens","19 tokens","Wug donor","2.0","2.0","1.0",1,5,9,5,2,2,5,9,2,5,9,9,5.63636363636364
"7","66d644b3e188368e4bd6777f","donated","75 tokens","19 tokens","Wug non-donor","2.0","1.0","1.0",1,5,4,6,4,5,8,5,8,6,9,9,6.27272727272727
"8","5f01d812e83c5732b0dd15e6","donated","75 tokens","19 tokens","Wug non-donor","1.0","2.0","2.0",1,5,5,9,5,5,9,9,9,9,9,5,7.18181818181818
"9","588e02b13326830001bc29cd","donated","75 tokens","1 token","Wug non-donor","2.0","1.0","1.0",1,4,2,2,3,6,9,2,6,8,9,2,4.81818181818182
"10","66c9dcb106fb45dcb4655e54","not donated","75 tokens","1 token","Wug donor","1.0","1.0","1.0",1,8,7,9,6,5,9,2,9,8,8,3,6.72727272727273
"11","5dd9f0e719eecb97dfab7b48","not donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,9,1,9,1,9,9,1,9,5,9,1,5.72727272727273
"12","65f3b9b0a622d1c75930b1df","donated","75 tokens","19 tokens","Wug non-donor","2.0","1.0","2.0",1,9,5,8,5,9,8,5,8,9,8,5,7.18181818181818
"13","5df3c82961b48a2907204173","donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,5,4,4,1,6,7,5,6,4,7,4,4.81818181818182
"14","5dfac1ba83907981767ce907","not donated","75 tokens","1 token","Wug donor","2.0","1.0","2.0",1,8,3,8,5,5,7,2,8,4,8,2,5.45454545454545
"15","66803a896850f7964079120f","not donated","75 tokens","19 tokens","Wug donor","2.0","2.0","1.0",1,7,7,8,8,7,8,7,9,8,9,NA,7.8
"16","62b473736986d2b27c1427d2","donated","75 tokens","19 tokens","Wug non-donor","1.0","1.0","1.0",1,7,6,6,6,6,4,7,9,6,8,8,6.63636363636364
"17","5dd5db1ded7ea4574c7bc996","not donated","75 tokens","19 tokens","Wug donor","2.0","1.0","2.0",1,4,5,7,5,8,7,7,8,6,7,5,6.27272727272727
"18","66c40786bc12f49a98f86635","donated","75 tokens","1 token","Wug non-donor","1.0","1.0","2.0",1,5,9,8,6,7,9,9,7,7,9,4,7.27272727272727
"19","65ba53111e49e993460b7796","donated","75 tokens","1 token","Wug non-donor","1.0","1.0","1.0",1,9,6,5,1,9,5,8,9,8,5,5,6.36363636363636
"20","66b0d717c6ac1da7b1aeaeee","not donated","75 tokens","1 token","Wug donor","1.0","1.0","1.0",1,3,5,9,5,8,7,5,5,5,9,5,6
