"","pid","DefaultStatus","BuySignal","OverturnCondition","wug_role","p2_q1","p2_q2","p2_q3","signal_sent","pragmatism","purity","justice","social_recognition","pleasure","compassion","spirituality","equality","giving","freedom","respect_tadition","moral_mean"
"1","66630e02ea6c9dcc2109095c","not donated","25 tokens","19 tokens","Wug non-donor","1.0","2.0","1.0",1,8,8,9,8,9,9,3,9,9,9,9,8.18181818181818
"2","66b81adbc27d50653ded3da4","not donated","25 tokens","1 token","Wug non-donor","2.0","1.0","2.0",1,8,3,6,5,7,5,2,4,4,8,4,5.09090909090909
"3","66d1c216f7c6746d8edc3acd","donated","25 tokens","19 tokens","Wug donor","1.0","1.0","1.0",1,7,8,9,4,8,8,7,8,8,9,8,7.63636363636364
"4","5f726103e138fe19277a7d0f","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,7,2,7,5,9,9,2,9,9,9,1,6.27272727272727
"5","5c51d7f198b0ff000110dba8","donated","75 tokens","1 token","Wug donor","1.0","2.0","2.0",1,4,6,6,4,5,7,5,5,5,5,5,5.18181818181818
"6","63614d7ed7516f2df577dd64","donated","75 tokens","1 token","Wug donor","1.0","2.0","2.0",1,7,4,6,5,4,8,5,7,6,5,4,5.54545454545455
"7","666559ee75c8f0bb96300cae","not donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,9,2,9,5,8,9,5,9,9,5,2,6.54545454545455
"8","65428e70d20d774330259f10","donated","75 tokens","1 token","Wug donor","2.0","2.0","1.0",1,4,2,6,5,6,5,3,6,5,5,4,4.63636363636364
"9","5de5538f8fde1c4dbc951498","not donated","25 tokens","19 tokens","Wug non-donor","2.0","1.0","2.0",1,7,8,8,4,4,8,9,5,6,9,5,6.63636363636364
"10","66551d3f336446c73dbbb74c","donated","25 tokens","19 tokens","Wug donor","1.0","1.0",NA,1,5,7,8,5,5,9,8,5,NA,9,8,6.9
"11","63fa2f029381a13d9f2a36a8","not donated","25 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,7,2,8,3,4,6,2,8,5,6,2,4.81818181818182
"12","5622e62bed6e5a0011c807b3","not donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,4,3,5,4,5,7,3,6,5,8,2,4.72727272727273
"13","668947f0d94a100faf641b3d","donated","25 tokens","19 tokens","Wug donor","1.0","1.0","1.0",1,5,9,5,5,6,6,4,8,7,6,8,6.27272727272727
"14","64c2bb6ce9c40ddb6650e63e","not donated","75 tokens","19 tokens","Wug non-donor","1.0","2.0","2.0",1,5,5,8,5,5,9,8,9,9,9,5,7
"15","664609104464762e08a64a17","not donated","25 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,7,3,6,6,8,7,2,7,5,7,3,5.54545454545455
"16","66a51bbce6016ac7f7686885","donated","75 tokens","1 token","Wug donor","1.0","2.0","2.0",1,4,8,7,5,7,9,8,8,8,8,8,7.27272727272727
"17","5b82247316aa4400016aa924","not donated","25 tokens","19 tokens","Wug non-donor","1.0","2.0","2.0",1,6,5,7,8,5,5,8,7,6,8,7,6.54545454545455
"18","65dc99f5573c4987d2f256b3","donated","25 tokens","1 token","Wug donor","1.0","1.0","2.0",1,9,9,9,1,9,9,8,9,9,9,8,8.09090909090909
"19","669a7ae484e2ca585e012363","donated","75 tokens","19 tokens","Wug donor","2.0","1.0","1.0",1,4,3,3,5,2,4,3,3,3,3,3,3.27272727272727
"20","66a97d614a60c8b54c9f3ff5","donated","25 tokens","1 token","Wug donor","2.0","1.0","2.0",1,6,9,8,8,7,8,9,5,8,8,9,7.72727272727273
"21","5eea9a9ea8d6d71ba912a73e","not donated","25 tokens","19 tokens","Wug non-donor","1.0","2.0","2.0",1,5,5,6,5,5,8,3,5,9,2,5,5.27272727272727
"22","6331b9456956d880a1e4632f","donated","75 tokens","1 token","Wug donor","2.0","1.0","2.0",1,3,4,4,6,7,5,6,3,4,9,8,5.36363636363636
"23","65428f17f027ab417b39d5f1","donated","25 tokens","19 tokens","Wug donor","1.0","1.0","2.0",1,3,6,5,5,6,6,6,5,6,5,6,5.36363636363636
"24","6653ae434d386b6218f51efb","not donated","75 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,7,8,8,4,4,8,8,8,7,8,5,6.81818181818182
"25","6317ac941faaf331c4573eab","donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,7,6,5,4,5,4,5,6,3,9,3,5.18181818181818
"26","66b9480a7486a9fe70f8b361","not donated","75 tokens","19 tokens","Wug non-donor","1.0","2.0","1.0",1,7,8,8,4,7,6,5,8,7,8,8,6.90909090909091
"27","66a14d6b415ff4a8a3b7532a","not donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,5,6,7,7,8,8,8,6,7,8,2,6.54545454545455
"28","66946e3054a30a2bf5b1be40","not donated","25 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,2,1,6,5,6,7,9,8,3,6,1,4.90909090909091
"29","667a1f5e23bc5cee5bdb0a89","not donated","25 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,8,2,8,4,5,4,2,5,4,8,4,4.90909090909091
"30","640d43c9451ce148162a7643","not donated","25 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,7,6,8,7,7,8,7,7,8,8,7,7.27272727272727
"31","66a3f9e04ef0793e01b941d7","donated","25 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,4,5,9,4,5,9,7,9,9,9,9,7.18181818181818
"32","5acb7b0ae1099600016acdd6","donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,6,5,6,3,3,6,7,5,6,5,4,5.09090909090909
"33","6110878b7d1780f35b6d53b4","not donated","25 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,3,3,7,3,4,8,2,8,4,8,3,4.81818181818182
"34","658fbb9f64bcbcfb43e3d925","donated","25 tokens","19 tokens","Wug donor","2.0","2.0","1.0",1,2,8,8,2,2,9,5,9,6,8,8,6.09090909090909
"35","5fc3d41149c0c8728f07b95b","donated","25 tokens","1 token","Wug donor","2.0","1.0","2.0",1,6,2,5,2,9,6,1,7,2,9,1,4.54545454545455
"36","66bd63193bedc4e83a4ff056","not donated","25 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,9,5,9,5,5,8,7,9,7,9,5,7.09090909090909
