"","pid","DefaultStatus","BuySignal","OverturnCondition","wug_role","p2_q1","p2_q2","p2_q3","signal_sent","pragmatism","purity","justice","social_recognition","pleasure","compassion","spirituality","equality","giving","freedom","respect_tadition","moral_mean"
"1","656621c12123fab75fe96106","donated","25 tokens","19 tokens","Wug donor","1.0","2.0","1.0",1,6,6,5,7,5,6,5,7,7,5,6,5.90909090909091
"2","66c4dee716f98496f9638591","donated","25 tokens","1 token","Wug donor","1.0","1.0","1.0",1,7,6,8,6,7,7,6,5,6,8,7,6.63636363636364
"3","664148c5a2d19f88a5433326","not donated","75 tokens","1 token","Wug non-donor","2.0","1.0","2.0",1,7,2,5,5,7,7,3,6,5,7,3,5.18181818181818
"4","668dcd1f9dd44752b86c48a0","not donated","75 tokens","19 tokens","Wug non-donor","1.0","1.0","2.0",1,6,5,6,6,6,8,4,7,7,8,3,6
"5","66200b032829f40f3664afdf","donated","75 tokens","19 tokens","Wug donor","2.0","1.0","2.0",1,7,2,8,8,9,9,7,8,4,8,2,6.54545454545455
"6","5c9623dd35599200175642e4","donated","75 tokens","1 token","Wug donor","1.0","1.0","1.0",1,5,2,5,2,5,5,2,5,2,5,2,3.63636363636364
"7","661a5cfd92cdbc17006b9339","donated","25 tokens","19 tokens","Wug donor","1.0","1.0","2.0",1,6,4,5,4,5,5,5,5,5,6,5,5
"8","63d3f99eac52371a49e65825","not donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,4,4,7,5,7,8,7,5,5,6,7,5.90909090909091
"9","65cb9a592b3565cba17bc37c","donated","25 tokens","1 token","Wug donor","2.0","1.0","1.0",1,8,5,7,6,6,8,3,7,6,6,5,6.09090909090909
"10","558af269fdf99b7dfef4d7bd","not donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,4,2,6,4,5,8,2,9,5,6,2,4.81818181818182
"11","62976e7114308ee7c69d10ae","donated","25 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,7,1,7,1,8,7,2,9,4,5,1,4.72727272727273
